Id,Age,Genre,Education,Pays,Ethnicité,Neuroticisme,Extraversion,Ouverture,Agréabilité,Conscienciosité,Impulsivité,Recherche de sensations,Alcohol,Amphetamines,Amyl nitrite,Benzodiazepine,Caffeine,Cannabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal highs,LSD,Methadone,Magic mushrooms,Semeron,Volatile substance abuse
21629,25-34,Female,Matrise,UK,Blanc,42 ,40,46,48,42,14.64% ,11.19% ,3,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,
21630,45-54,Female,Certificat ou diplome professionel,UK,Blanc,37 ,39,40,45,46,11.46% ,11.19% ,2,0,0,2,6,1,6,0,0,0,0,0,0,1,0,0,0,0,
21631,35-44,Female,Université,UK,Blanc,34 ,43,52,36,34,13.63% ,13.21% ,6,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,
21654,25-34,Female,Doctorat,UK,Blanc,28,46,44,54,51,16.29% ,11.62% ,5,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,
21655,55-64,Male,À quitté l'école à 16 ans,UK,Blanc,39 ,38,41,32,45,18.83% ,7.00% ,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,
21866,45-54,Male,À quitté l'école avant 16 ans,USA,Blanc,43 ,37,49,36,44,11.46% ,13.21% ,6,1,1,6,6,6,6,2,2,1,2,1,0,1,5,1,0,0,
21867,18-24,Female,Collège ou université aucun certificat ou diplome,USA,Blanc,42 ,44,60,36,48,10.34% ,11.14% ,5,3,0,0,6,6,4,3,0,5,0,0,3,4,3,4,0,0,
21868,25-34,Male,Collège ou université aucun certificat ou diplome,USA,Blanc,19,40,58,37,45,18.83% ,13.21% ,5,3,0,3,5,6,2,3,2,5,2,3,6,6,0,4,0,2,
21869,18-24,Female,Certificat ou diplome professionel,USA,Blanc,36 ,40,59,39,25,10.34% ,11.14% ,5,0,0,4,6,6,5,3,0,3,0,0,3,3,3,3,0,1,
2051,35-44,Male,Matrise,UK,Blanc,46 ,39,45,35,42,16.29% ,8.97% ,6,1,2,1,6,3,6,2,0,3,0,0,2,1,0,3,0,0,
2050,25-34,Female,Matrise,UK,Mixed-Blanc/Noir,44 ,36,32,37,44,11.46% ,11.14% ,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,
2214,45-54,Female,Certificat ou diplome professionel,Republique d'Ireland,Blanc,41 ,39,37,49,43,14.64% ,4.62% ,5,0,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,
2052,45-54,Male,Certificat ou diplome professionel,Canada,Blanc,47,46,42,37,27,5.52% ,5.46% ,2,1,1,1,6,2,6,1,0,0,0,0,0,1,0,1,0,0,
2215,25-34,Female,Certificat ou diplome professionel,UK,Blanc,34 ,47,49,51,50,13.63% ,11.14% ,5,0,0,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,
2216,25-34,Female,Université,Canada,Blanc,51,38,41,50,39,13.63% ,11.62% ,5,2,0,0,6,4,4,3,0,3,0,0,0,0,0,2,0,0,
2527,45-54,Female,Université,Australie,Blanc,29 ,44,53,55,56,13.63% ,11.62% ,5,1,1,6,0,6,3,1,1,1,0,0,0,3,6,1,0,1,
2762,18-24,Male,Collège ou université aucun certificat ou diplome,USA,Blanc,52,42,38 ,40,23,0.37% ,11.83% ,6,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,
2528,55-64,Male,À quitté l'école à 18 ans,UK,Blanc,20,43,38 ,43,45,16.29% ,11.19% ,6,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,
2529,18-24,Male,Certificat ou diplome professionel,UK,Blanc,45,30,44,30,31,10.34% ,11.62% ,4,0,2,0,4,5,5,4,0,3,0,0,2,0,3,0,0,0,
2761,25-34,Male,Université,Canada,Blanc,36 ,33,40,40,37,13.63% ,11.14% ,6,2,2,2,6,3,6,3,0,3,3,2,5,0,3,3,0,3,
